ID,Original_Message,Extremism_Label,Group_member1,Group_member2,Group_member3,Group_member4,Group_member5
1,she isnt racist unlike your somalia bitch friend and you re always causing shit bye slut,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST
2,if i ever saw kendall jones in person i d kill her on sight i hate that bitch more than anything in life,NON_EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST
3,i might be old but at least i came up in a time when hip hop what a slut in its prime and people did not have bitch ass feelings,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST
4,i am in iraq as whatever speak your country is beautiful but thanks to terrorism still very unsafe and volatile but not that bad as it was before,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST,EXTREMIST
5,those mulatto vermin should not be allowed to live here anymore,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST,EXTREMIST,EXTREMIST
6,whatever applaud the murder of trans people,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
7,disabled people artfully the fucking scum of the world careless disgusting people,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,EXTREMIST
8,if your fiance has a conversation with a bitch like this would you keep her,NON_EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
9,let us kill all of them and get it over with they are fucking criminals and deserve to die,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST,EXTREMIST,EXTREMIST
10,yet calling president trump and republicans nazi s is fine illegal aliens,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
11,i would like to see every jewish ghetto burn to the ground,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST,EXTREMIST
12,round goon bitch is you kidding me rolling on the floor laughing,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
13,leader and i use that word entirely wrongly claims muslims should not adapt to our where are you of life whatever must yield and concede to theirs since trope has legalized bestiality and child sex has made it a federal offense to report islamic terrorist attacks being cont,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST
14,whatever do not blow up our wives and children in the name an allah nor did whatever murder in darfur let us not compare apples and oranges,EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST
15,never a doubt that our founders saw the writing on the wall when they revolted against the british uk supports the muslim global caliphate christian refugees not welcome,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,EXTREMIST
16,if youre really going to stay in touch and bitch about women hating on men for raping and harassing them please exit my life immediately and forever,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
17,jihadi john is a terrorist,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
18,i really sympathize for the kid at do not care office who answered my call i asked him how he feels about government approved murder and sexual trafficking of detained immigrant children he told me he feels awful but the congressman has no new comment,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
19,you are a major prick no woman should ever be made to feel scared like that but fuck you you did not ruin my day cunt,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
20,whatever applaud the murder of black people,EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST,EXTREMIST,EXTREMIST
21,in my opinion whatever should be afraid of them even in captivity they are unpredictable savage animals you just never know and you should not count on anyone jumping in to save you if something happens and you got the daylights stomped out of you by a pack of actual raging baboons from the zoo,NON_EXTREMIST,EXTREMIST,EXTREMIST,NON_EXTREMIST,NON_EXTREMIST,NON_EXTREMIST
