Original_Message,Extremism_Label,VE vs NVE classification,VE Subtype classification,Target demographics Detection,Justification
yet calling president trump and republicans nazi s is fine illegal aliens,EXTREMIST,NVE,N/A,"Political group, Nationality","The message expresses vocal opposition and grievances towards political groups (president Trump and Republicans) and a nationality-related group (illegal aliens) but does not contain serious threats, support for physical attacks, or calls for action."
jihadi john is a terrorist,EXTREMIST,NVE,N/A,Unclear,"The message expresses vocal opposition by labeling an individual as a terrorist but does not contain any serious threat, advocacy for violence, structural damage, support for physical attacks, or a personal responsibility to act."
i really sympathize for the kid at do not care office who answered my call i asked him how he feels about government approved murder and sexual trafficking of detained immigrant children he told me he feels awful but the congressman has no new comment,EXTREMIST,NVE,N/A,"Nationality (immigrants), Occupation (government/congressman)","The message expresses vocal opposition to government practices and grievance about treatment of detained immigrant children, but does not contain serious threats of action, advocacy for physical attacks, or personal responsibility to act."
whatever applaud the murder of black people,EXTREMIST,VE,ideological,ethnic/racial group,"The message supports murder (a serious threat of action) specifically targeting black people, indicating support for physical attacks. This meets the criteria for Violent Extremist with an ideological dimension."
i would like to see every jewish ghetto burn to the ground,EXTREMIST,VE,Religious,Religious group,"The message contains a serious threat of action advocating structural damage ('every jewish ghetto burn to the ground'), indicating support for physical attacks and expressing intent to cause harm targeting a religious group."
leader and i use that word entirely wrongly claims muslims should not adapt to our where are you of life whatever must yield and concede to theirs since trope has legalized bestiality and child sex has made it a federal offense to report islamic terrorist attacks being cont,EXTREMIST,NVE,N/A,Religious group,"The message expresses vocal opposition and grievances against Muslim communities and legal/political structures but does not contain a serious threat of action, advocacy for physical attacks, or structural damage. It indicates frustration but lacks explicit calls for violence."
let us kill all of them and get it over with they are all fucking terrorists,EXTREMIST,VE,ideological,Unclear,"The message contains a serious threat of action ('let us kill all of them') and expresses support for physical attacks, meeting the criteria for Violent Extremist. The target group is not explicitly identified beyond being labeled as 'terrorists', leading to unclear specific demographics."
ceasefire let s see how long those towel heads can go without trying to attack israel then cry to national media when they get popped again,EXTREMIST,VE,Political,Religious group,"The message expresses support for physical attacks against a religiously identified group ('towel heads'), implying a serious threat of action and endorsing violence toward that group."
those mulatto vermin should not be allowed to live here anymore,EXTREMIST,VE,Ideological,Ethnic/racial group,"The message contains a serious threat of action against an ethnic/racial group, expressing support for their removal or harm, fitting the Violent Extremist criteria."
whatever applaud the murder of trans people,EXTREMIST,VE,ideological,Gender,"The message applauds the murder of trans people, expressing support for physical attacks, which constitutes a serious threat of action directed at a specific demographic group based on gender identity."
love let not all men be equally yoked to the animals who hurt women for pleasure and lack of confidence in themselves,EXTREMIST,NVE,N/A,Gender,"The message expresses vocal opposition and ingroup-outgroup grievances against men who harm women, but does not contain serious threats, advocate for physical attacks, or indicate personal responsibility to act."
never a doubt that our founders saw the writing on the wall when they revolted against the british uk supports the muslim global caliphate christian refugees not welcome,EXTREMIST,NVE,,"Religious group, Nationality","The message expresses vocal opposition to mainstream values and ingroup-outgroup grievances, specifically against Muslims and Christian refugees, without advocating for physical attacks, structural damage, or personal responsibility to act."
let us kill all of them and get it over with they are fucking criminals and deserve to die,EXTREMIST,VE,Political,Unclear,"The message contains a serious threat of action ('let us kill all of them'), expresses support for physical attacks, and indicates a personal responsibility to act. The target group is not explicitly identified."
whatever do not blow up our wives and children in the name an allah nor did whatever murder in darfur let us not compare apples and oranges,EXTREMIST,NVE,N/A,Religious group,"The message expresses vocal opposition and comparison between violent acts associated with religious justifications but does not advocate for or support physical attacks, threats, structural damage, or personal responsibility to act violently."
i encourage the murder of asylum seekers,EXTREMIST,VE,Political,Nationality (asylum seekers),"The message explicitly encourages murder, a clear serious threat of action and support for physical attacks, targeting asylum seekers based on their nationality/status."
kill la kill what a slut trash,EXTREMIST,NVE,N/A,Gender,"The message contains derogatory language targeted at an individual or group based on perceived sexual behavior (implied gender-based insult), but does not include any serious threat, advocacy for physical attacks, or responsibility to act. It expresses vocal opposition or insult without violent extremism indicators."
i wish you had called in and dropped this knowledge bomb on them they would not have known what to do with themselves,EXTREMIST,NVE,N/A,Unclear,"The message expresses a desire to share impactful information ('knowledge bomb') but does not contain any threat of violence, advocacy for physical attacks, or personal responsibility to act violently. No mention of specific target groups or cognitive opening indicating a crisis."
california says he isnt a murderer prosecutors disagreed after nine years in jail awaiting trial nero wilson what a slut released when california changed its murder laws last fall,EXTREMIST,NVE,N/A,Unclear,"The message expresses vocal opposition and grievance regarding a legal case and a person's character but does not contain any serious threat, advocacy for structural damage, support for physical attacks, or indication of personal responsibility to act."
whatever applaud the murder of muslims,EXTREMIST,VE,Religious,Religious group,"The message explicitly expresses support for the murder of Muslims, which is a serious threat of action and support for physical attacks, fitting the definition of Violent Extremist (VE) with a religious subtype targeting a religious group."
guests so naive to say and believe traitor trump is walking back and correcting his statement trump what a slut being truthful with trumpisatraitor,EXTREMIST,NVE,N/A,Political group,"The message expresses vocal opposition to a political figure (Trump) and uses derogatory language but does not contain serious threats, calls for physical attacks, or indications of personal responsibility to act."
borisjohnsonshouldnotbepm ever no threats to kill boris johnson as fabricated by fta,EXTREMIST,NVE,N/A,Political group,"The message expresses vocal opposition to Boris Johnson, a political figure, without containing any serious threat, advocacy for violence, or personal responsibility to act."
